face_433_138_93.png,160,145,208,252,243,231
face_653_196_80.png,163,139,185,239,193,184
face_996_268_141.png,177,156,200,236,204,195
face_228_196_50.png,172,143,196,247,202,169
face_238_179_125.png,103,69,143,250,209,196
face_55_132_34.png,195,125,126,251,168,94
face_398_94_59.png,81,41,40,241,196,155
face_196_163_123.png,202,174,231,253,227,211
face_102_102_65.png,202,160,201,251,235,222
face_686_98_29.png,177,154,209,247,210,186
face_171_300_148.png,179,157,197,250,239,227
face_0_343_119.png,162,155,183,241,224,216
face_348_124_54.png,205,165,203,252,232,210
face_672_149_156.png,158,145,205,252,211,183
face_328_149_108.png,190,159,234,250,222,206
face_341_113_37.png,138,69,158,252,250,176
face_747_353_30.png,175,135,203,240,191,179
face_501_214_64.png,152,154,231,253,254,254
face_181_90_107.png,135,139,197,253,242,226
face_722_173_118.png,126,83,128,250,209,188
face_1046_318_19.png,191,172,206,252,227,192
face_448_174_116.png,202,174,231,253,228,212
face_394_145_24.png,162,147,200,248,210,186
face_553_332_51.png,162,80,84,248,250,250
face_948_359_104.png,175,146,204,253,210,181
face_327_245_137.png,211,193,216,241,229,188
face_1114_523_70.png,181,149,197,252,213,172
face_272_163_4.png,209,152,132,253,233,215
face_199_149_89.png,131,130,187,243,237,228
face_90_614_35.png,183,157,206,253,215,189
face_0_343_56.png,166,159,186,237,223,216
face_228_163_98.png,156,127,183,240,196,156
face_208_170_67.png,17,19,28,249,231,225
face_113_208_109.png,182,153,245,253,229,204
face_311_683_99.png,198,173,218,253,230,206
face_250_318_83.png,214,178,219,251,230,226
face_126_474_100.png,110,74,151,252,217,192
face_781_676_140.png,183,158,188,233,223,215
face_268_119_91.png,199,161,175,247,195,176
face_163_196_77.png,119,94,173,251,218,200
face_199_99_142.png,173,151,180,253,241,226
face_722_313_17.png,206,189,223,251,231,205
face_284_113_2.png,182,154,221,253,234,223
face_549_404_132.png,92,54,143,248,208,190
face_563_635_18.png,178,152,203,252,219,180
face_231_260_117.png,192,191,231,253,237,212
face_425_163_27.png,207,194,253,253,238,216
face_522_458_110.png,150,108,180,245,201,181
face_113_159_62.png,167,159,224,237,232,203
face_792_154_72.png,185,160,206,248,216,188
face_0_265_11.png,177,163,195,249,216,196
face_245_163_103.png,146,102,162,247,203,196
face_752_130_88.png,217,181,241,253,240,210
face_235_282_130.png,199,172,212,252,238,229
face_250_136_0.png,182,160,211,253,230,216
face_267_183_46.png,194,196,195,252,254,253
face_261_130_105.png,103,80,144,219,174,219
face_159_250_76.png,83,64,116,252,244,215
face_303_94_154.png,210,167,176,247,202,182
face_163_425_96.png,169,145,192,253,233,204
face_121_86_66.png,154,111,177,252,197,150
face_621_261_36.png,184,157,211,253,222,194
face_436_436_81.png,163,66,49,244,204,179
face_940_156_26.png,193,159,214,253,231,212
face_142_553_73.png,161,156,218,251,220,204
face_353_207_28.png,122,97,174,251,221,204
face_409_337_146.png,170,158,184,253,254,253
face_176_821_94.png,178,149,195,252,212,192
face_506_284_153.png,182,138,163,229,169,145
face_817_294_114.png,186,156,192,253,212,166
face_311_166_145.png,193,165,231,252,225,208
face_398_265_79.png,168,159,208,250,216,193
face_328_179_143.png,120,94,175,251,219,201
face_224_149_151.png,87,82,145,253,251,207
face_381_136_22.png,221,104,85,253,249,228
face_1024_132_10.png,157,169,215,252,239,220
face_398_189_3.png,196,171,222,253,248,233
face_167_230_133.png,207,157,138,247,214,197
face_850_261_92.png,186,163,201,252,225,184
face_249_311_71.png,109,69,143,237,226,223
face_502_190_51.png,182,164,208,252,226,196
face_327_572_136.png,142,110,170,249,227,193
face_99_522_15.png,121,98,96,248,247,214
face_113_170_41.png,170,138,196,245,201,173
face_298_124_12.png,153,125,191,252,216,199
face_520_115_23.png,156,118,182,250,187,174
face_456_353_24.png,159,143,194,246,207,183
face_656_149_85.png,198,177,224,251,232,215
face_415_332_8.png,193,155,206,253,238,216
face_94_221_131.png,172,149,199,244,206,181
face_896_149_124.png,176,135,189,251,193,148
face_775_110_159.png,168,152,206,253,219,197
face_81_354_14.png,141,128,185,244,222,209
face_136_204_82.png,113,89,167,251,223,206
face_102_205_126.png,173,156,196,253,228,209
face_869_77_147.png,172,164,221,251,234,238
face_138_415_66.png,160,116,180,251,198,153
face_179_179_5.png,194,170,214,252,220,202
face_174_448_106.png,156,146,203,247,211,192
face_932_136_60.png,130,85,168,248,203,184
face_173_346_121.png,181,153,198,247,218,194
face_249_311_122.png,111,70,143,237,226,223
face_520_491_42.png,135,96,152,237,214,197
face_473_273_140.png,142,100,167,237,213,203
face_454_363_128.png,164,141,194,251,208,179
face_227_159_44.png,89,77,160,246,231,200
face_113_113_63.png,169,146,200,244,208,178
face_174_124_135.png,183,150,188,252,239,223
face_250_179_139.png,159,144,201,248,208,187
face_298_174_6.png,208,198,232,253,250,223
